Dataset = ogbn-products, batch_size = 2048
Epoch 00000 | Loss 2.8484 | Accuracy 0.4588 | Time : 15.849737167358398
Epoch 00001 | Loss 2.0071 | Accuracy 0.5614 | Time : 14.654744625091553
Epoch 00002 | Loss 1.7620 | Accuracy 0.5989 | Time : 14.772899866104126
Epoch 00003 | Loss 1.6179 | Accuracy 0.6180 | Time : 14.676920413970947
Epoch 00004 | Loss 1.5182 | Accuracy 0.6362 | Time : 14.759006261825562
Epoch 00005 | Loss 1.4515 | Accuracy 0.6510 | Time : 14.641121625900269
Epoch 00006 | Loss 1.4071 | Accuracy 0.6598 | Time : 14.553954362869263
Epoch 00007 | Loss 1.3565 | Accuracy 0.6675 | Time : 14.671965599060059
Epoch 00008 | Loss 1.3164 | Accuracy 0.6768 | Time : 14.624316215515137
Epoch 00009 | Loss 1.2892 | Accuracy 0.6822 | Time : 14.709883213043213
Epoch 00010 | Loss 1.2583 | Accuracy 0.6862 | Time : 13.601900815963745
Epoch 00011 | Loss 1.2388 | Accuracy 0.6815 | Time : 13.481794118881226
Epoch 00012 | Loss 1.2252 | Accuracy 0.6895 | Time : 13.429279804229736
Epoch 00013 | Loss 1.1939 | Accuracy 0.6960 | Time : 13.382331132888794
Epoch 00014 | Loss 1.1714 | Accuracy 0.6968 | Time : 13.274154424667358
Epoch 00015 | Loss 1.1584 | Accuracy 0.7001 | Time : 13.239659786224365
Epoch 00016 | Loss 1.1637 | Accuracy 0.7067 | Time : 13.411410808563232
Epoch 00017 | Loss 1.1472 | Accuracy 0.7017 | Time : 13.305953741073608
Epoch 00018 | Loss 1.1333 | Accuracy 0.7041 | Time : 13.325663328170776
Epoch 00019 | Loss 1.1256 | Accuracy 0.7090 | Time : 13.329712867736816
Epoch 00020 | Loss 1.1013 | Accuracy 0.7122 | Time : 13.394609689712524
Epoch 00021 | Loss 1.1059 | Accuracy 0.7154 | Time : 14.474992990493774
Epoch 00022 | Loss 1.0851 | Accuracy 0.7125 | Time : 14.478312015533447
Epoch 00023 | Loss 1.0901 | Accuracy 0.7159 | Time : 14.36142873764038
Epoch 00024 | Loss 1.0832 | Accuracy 0.7067 | Time : 14.460883617401123
Epoch 00025 | Loss 1.0710 | Accuracy 0.7172 | Time : 14.355969905853271
Epoch 00026 | Loss 1.0598 | Accuracy 0.7137 | Time : 14.468971967697144
Epoch 00027 | Loss 1.0550 | Accuracy 0.7202 | Time : 14.47966742515564
Epoch 00028 | Loss 1.0419 | Accuracy 0.7227 | Time : 13.013641834259033
Epoch 00029 | Loss 1.0388 | Accuracy 0.7229 | Time : 12.264583349227905
Epoch 00030 | Loss 1.0489 | Accuracy 0.7250 | Time : 12.247043132781982
Epoch 00031 | Loss 1.0513 | Accuracy 0.7187 | Time : 12.227426290512085
Epoch 00032 | Loss 1.0303 | Accuracy 0.7184 | Time : 13.100621938705444
Epoch 00033 | Loss 1.0261 | Accuracy 0.7264 | Time : 13.350926399230957
Epoch 00034 | Loss 1.0274 | Accuracy 0.7199 | Time : 15.649714708328247
Epoch 00035 | Loss 1.0211 | Accuracy 0.7287 | Time : 16.092120885849
Epoch 00036 | Loss 1.0140 | Accuracy 0.7270 | Time : 15.917006254196167
Epoch 00037 | Loss 1.0196 | Accuracy 0.7284 | Time : 15.942292928695679
Epoch 00038 | Loss 1.0063 | Accuracy 0.7243 | Time : 13.341569900512695
Epoch 00039 | Loss 1.0001 | Accuracy 0.7301 | Time : 13.513505458831787
Epoch 00040 | Loss 1.0071 | Accuracy 0.7232 | Time : 13.310003519058228
Epoch 00041 | Loss 1.0209 | Accuracy 0.7303 | Time : 16.129351139068604
Epoch 00042 | Loss 1.0265 | Accuracy 0.7243 | Time : 16.393223762512207
Epoch 00043 | Loss 1.0119 | Accuracy 0.7301 | Time : 14.458701848983765
Epoch 00044 | Loss 1.0077 | Accuracy 0.7277 | Time : 13.587116003036499
Epoch 00045 | Loss 1.0248 | Accuracy 0.7313 | Time : 16.319095611572266
Epoch 00046 | Loss 1.0130 | Accuracy 0.7271 | Time : 15.990149021148682
Epoch 00047 | Loss 1.0104 | Accuracy 0.7248 | Time : 13.862930297851562
Epoch 00048 | Loss 1.0108 | Accuracy 0.7305 | Time : 16.57496666908264
Epoch 00049 | Loss 0.9942 | Accuracy 0.7314 | Time : 16.223681211471558
Epoch 00050 | Loss 0.9977 | Accuracy 0.7273 | Time : 14.302026510238647
Epoch 00051 | Loss 0.9851 | Accuracy 0.7351 | Time : 15.19530987739563
Epoch 00052 | Loss 0.9937 | Accuracy 0.7314 | Time : 14.911917448043823
Epoch 00053 | Loss 1.0072 | Accuracy 0.7332 | Time : 14.928069591522217
Epoch 00054 | Loss 0.9848 | Accuracy 0.7330 | Time : 14.925882816314697
Epoch 00055 | Loss 0.9839 | Accuracy 0.7354 | Time : 14.941884994506836
Epoch 00056 | Loss 0.9930 | Accuracy 0.7237 | Time : 14.815885543823242
Epoch 00057 | Loss 1.0085 | Accuracy 0.7370 | Time : 14.883793354034424
Epoch 00058 | Loss 0.9920 | Accuracy 0.7337 | Time : 14.410591840744019
Epoch 00059 | Loss 1.0069 | Accuracy 0.7337 | Time : 13.95897126197815
Epoch 00060 | Loss 1.0025 | Accuracy 0.7271 | Time : 13.921673059463501
Epoch 00061 | Loss 0.9915 | Accuracy 0.7328 | Time : 14.014507293701172
Epoch 00062 | Loss 0.9856 | Accuracy 0.7357 | Time : 13.932984590530396
Epoch 00063 | Loss 0.9930 | Accuracy 0.7359 | Time : 14.011260271072388
Epoch 00064 | Loss 0.9996 | Accuracy 0.7375 | Time : 14.59438157081604
Epoch 00065 | Loss 0.9819 | Accuracy 0.7312 | Time : 15.082412719726562
Epoch 00066 | Loss 0.9739 | Accuracy 0.7396 | Time : 13.97592568397522
Epoch 00067 | Loss 0.9766 | Accuracy 0.7402 | Time : 13.522782802581787
Epoch 00068 | Loss 0.9842 | Accuracy 0.7393 | Time : 13.615696430206299
Epoch 00069 | Loss 0.9715 | Accuracy 0.7335 | Time : 13.529456615447998
Epoch 00070 | Loss 0.9793 | Accuracy 0.7407 | Time : 13.572757482528687
Epoch 00071 | Loss 0.9928 | Accuracy 0.7345 | Time : 13.597046375274658
Epoch 00072 | Loss 0.9867 | Accuracy 0.7374 | Time : 13.509140253067017
Epoch 00073 | Loss 0.9743 | Accuracy 0.7309 | Time : 13.552629947662354
Epoch 00074 | Loss 0.9764 | Accuracy 0.7372 | Time : 13.624665021896362
Epoch 00075 | Loss 0.9720 | Accuracy 0.7407 | Time : 13.507715463638306
Epoch 00076 | Loss 0.9689 | Accuracy 0.7408 | Time : 13.569576978683472
Epoch 00077 | Loss 0.9760 | Accuracy 0.7287 | Time : 15.588119983673096
Epoch 00078 | Loss 0.9719 | Accuracy 0.7401 | Time : 15.199186086654663
Epoch 00079 | Loss 0.9660 | Accuracy 0.7396 | Time : 14.852781772613525
Epoch 00080 | Loss 0.9677 | Accuracy 0.7398 | Time : 14.637193202972412
Epoch 00081 | Loss 0.9634 | Accuracy 0.7354 | Time : 14.920855045318604
Epoch 00082 | Loss 0.9617 | Accuracy 0.7279 | Time : 15.9940185546875
Epoch 00083 | Loss 0.9691 | Accuracy 0.7368 | Time : 15.901262044906616
Epoch 00084 | Loss 0.9739 | Accuracy 0.7405 | Time : 13.919655799865723
Epoch 00085 | Loss 0.9661 | Accuracy 0.7406 | Time : 13.806174039840698
Epoch 00086 | Loss 0.9749 | Accuracy 0.7360 | Time : 13.861316680908203
Epoch 00087 | Loss 0.9751 | Accuracy 0.7393 | Time : 13.93583869934082
Epoch 00088 | Loss 0.9712 | Accuracy 0.7325 | Time : 13.805026531219482
Epoch 00089 | Loss 0.9766 | Accuracy 0.7427 | Time : 12.786011695861816
Epoch 00090 | Loss 0.9705 | Accuracy 0.7389 | Time : 15.388508558273315
Epoch 00091 | Loss 0.9676 | Accuracy 0.7415 | Time : 17.26038408279419
Epoch 00092 | Loss 0.9922 | Accuracy 0.7261 | Time : 17.160787105560303
Epoch 00093 | Loss 0.9742 | Accuracy 0.7369 | Time : 16.651301383972168
