Dataset = ogbn-products, batch_size = 8192
Epoch 00000 | Loss 3.9445 | Accuracy 0.3350 | Time : 9.436918020248413
Epoch 00001 | Loss 2.6589 | Accuracy 0.3969 | Time : 7.226733446121216
Epoch 00002 | Loss 2.3837 | Accuracy 0.4327 | Time : 7.186426401138306
Epoch 00003 | Loss 2.2495 | Accuracy 0.4705 | Time : 7.03340220451355
Epoch 00004 | Loss 2.1234 | Accuracy 0.4986 | Time : 7.04252028465271
Epoch 00005 | Loss 2.0570 | Accuracy 0.5218 | Time : 7.012078523635864
Epoch 00006 | Loss 1.9701 | Accuracy 0.5393 | Time : 7.085993051528931
Epoch 00007 | Loss 1.9179 | Accuracy 0.5544 | Time : 7.07748818397522
Epoch 00008 | Loss 1.8725 | Accuracy 0.5689 | Time : 7.035908460617065
Epoch 00009 | Loss 1.8138 | Accuracy 0.5738 | Time : 7.0797083377838135
Epoch 00010 | Loss 1.7726 | Accuracy 0.5810 | Time : 7.041721343994141
Epoch 00011 | Loss 1.7061 | Accuracy 0.5882 | Time : 7.107909917831421
Epoch 00012 | Loss 1.7001 | Accuracy 0.5917 | Time : 7.086702346801758
Epoch 00013 | Loss 1.6632 | Accuracy 0.5933 | Time : 7.033923864364624
Epoch 00014 | Loss 1.6859 | Accuracy 0.6030 | Time : 7.120158910751343
Epoch 00015 | Loss 1.6478 | Accuracy 0.6099 | Time : 7.027958631515503
Epoch 00016 | Loss 1.6714 | Accuracy 0.6114 | Time : 7.055755376815796
Epoch 00017 | Loss 1.6592 | Accuracy 0.6196 | Time : 7.037177085876465
Epoch 00018 | Loss 1.6223 | Accuracy 0.6216 | Time : 7.094749927520752
Epoch 00019 | Loss 1.5747 | Accuracy 0.6232 | Time : 7.059491395950317
Epoch 00020 | Loss 1.5580 | Accuracy 0.6262 | Time : 7.049778938293457
Epoch 00021 | Loss 1.5660 | Accuracy 0.6292 | Time : 7.0618908405303955
Epoch 00022 | Loss 1.5277 | Accuracy 0.6275 | Time : 7.015819072723389
Epoch 00023 | Loss 1.5043 | Accuracy 0.6343 | Time : 7.109267950057983
Epoch 00024 | Loss 1.5004 | Accuracy 0.6368 | Time : 7.121675252914429
Epoch 00025 | Loss 1.4435 | Accuracy 0.6424 | Time : 7.167097568511963
Epoch 00026 | Loss 1.4403 | Accuracy 0.6446 | Time : 7.124070405960083
Epoch 00027 | Loss 1.4425 | Accuracy 0.6415 | Time : 7.087921857833862
Epoch 00028 | Loss 1.4616 | Accuracy 0.6434 | Time : 7.081399440765381
Epoch 00029 | Loss 1.4748 | Accuracy 0.6449 | Time : 7.118541240692139
Epoch 00030 | Loss 1.4484 | Accuracy 0.6492 | Time : 6.82173752784729
Epoch 00031 | Loss 1.4226 | Accuracy 0.6507 | Time : 6.32335090637207
Epoch 00032 | Loss 1.4377 | Accuracy 0.6514 | Time : 6.3680384159088135
Epoch 00033 | Loss 1.4420 | Accuracy 0.6485 | Time : 6.3670973777771
Epoch 00034 | Loss 1.4036 | Accuracy 0.6495 | Time : 6.41145658493042
Epoch 00035 | Loss 1.3865 | Accuracy 0.6552 | Time : 6.4073944091796875
Epoch 00036 | Loss 1.3805 | Accuracy 0.6579 | Time : 6.424243211746216
Epoch 00037 | Loss 1.3584 | Accuracy 0.6621 | Time : 6.58788800239563
Epoch 00038 | Loss 1.3619 | Accuracy 0.6620 | Time : 7.253264427185059
Epoch 00039 | Loss 1.4015 | Accuracy 0.6627 | Time : 7.3161985874176025
Epoch 00040 | Loss 1.3925 | Accuracy 0.6618 | Time : 7.2203474044799805
Epoch 00041 | Loss 1.3878 | Accuracy 0.6630 | Time : 7.20360803604126
Epoch 00042 | Loss 1.3816 | Accuracy 0.6671 | Time : 7.353037118911743
Epoch 00043 | Loss 1.3073 | Accuracy 0.6642 | Time : 7.255109548568726
Epoch 00044 | Loss 1.3108 | Accuracy 0.6692 | Time : 6.100105285644531
Epoch 00045 | Loss 1.3249 | Accuracy 0.6711 | Time : 5.4256651401519775
Epoch 00046 | Loss 1.2874 | Accuracy 0.6714 | Time : 5.418389558792114
Epoch 00047 | Loss 1.2793 | Accuracy 0.6728 | Time : 5.419594049453735
Epoch 00048 | Loss 1.3322 | Accuracy 0.6743 | Time : 5.49095892906189
