Dataset = ogbn-products, batch_size = 1024
Epoch 00000 | Loss 2.4841 | Accuracy 0.5526 | Time : 20.00399351119995
Epoch 00001 | Loss 1.7360 | Accuracy 0.6146 | Time : 19.052156925201416
Epoch 00002 | Loss 1.5250 | Accuracy 0.6419 | Time : 18.980666637420654
Epoch 00003 | Loss 1.4041 | Accuracy 0.6577 | Time : 18.813019514083862
Epoch 00004 | Loss 1.3202 | Accuracy 0.6737 | Time : 19.158815145492554
Epoch 00005 | Loss 1.2635 | Accuracy 0.6843 | Time : 19.18443775177002
Epoch 00006 | Loss 1.2287 | Accuracy 0.6960 | Time : 19.03482747077942
Epoch 00007 | Loss 1.1924 | Accuracy 0.6965 | Time : 18.935930013656616
Epoch 00008 | Loss 1.1577 | Accuracy 0.7067 | Time : 18.80696725845337
Epoch 00009 | Loss 1.1379 | Accuracy 0.7104 | Time : 18.74910545349121
Epoch 00010 | Loss 1.1109 | Accuracy 0.7074 | Time : 18.816155195236206
Epoch 00011 | Loss 1.0990 | Accuracy 0.7084 | Time : 18.766825437545776
Epoch 00012 | Loss 1.0838 | Accuracy 0.7142 | Time : 19.229695081710815
Epoch 00013 | Loss 1.0690 | Accuracy 0.7216 | Time : 18.89403009414673
Epoch 00014 | Loss 1.0576 | Accuracy 0.7228 | Time : 19.311837434768677
Epoch 00015 | Loss 1.0466 | Accuracy 0.7176 | Time : 18.81422448158264
Epoch 00016 | Loss 1.0446 | Accuracy 0.7188 | Time : 18.819287538528442
Epoch 00017 | Loss 1.0354 | Accuracy 0.7232 | Time : 18.87294602394104
Epoch 00018 | Loss 1.0282 | Accuracy 0.7267 | Time : 18.787178993225098
Epoch 00019 | Loss 1.0286 | Accuracy 0.7238 | Time : 18.713430166244507
Epoch 00020 | Loss 1.0270 | Accuracy 0.7249 | Time : 19.052360773086548
Epoch 00021 | Loss 1.0137 | Accuracy 0.7263 | Time : 18.984909296035767
Epoch 00022 | Loss 1.0129 | Accuracy 0.7284 | Time : 19.177536725997925
Epoch 00023 | Loss 1.0091 | Accuracy 0.7313 | Time : 18.73254704475403
Epoch 00024 | Loss 1.0015 | Accuracy 0.7319 | Time : 18.68609356880188
Epoch 00025 | Loss 1.0005 | Accuracy 0.7314 | Time : 18.668240070343018
Epoch 00026 | Loss 0.9975 | Accuracy 0.7309 | Time : 18.730515718460083
Epoch 00027 | Loss 1.0011 | Accuracy 0.7336 | Time : 18.70459222793579
Epoch 00028 | Loss 0.9927 | Accuracy 0.7329 | Time : 18.83485746383667
Epoch 00029 | Loss 0.9890 | Accuracy 0.7271 | Time : 18.62932825088501
Epoch 00030 | Loss 0.9954 | Accuracy 0.7308 | Time : 18.71731400489807
Epoch 00031 | Loss 0.9933 | Accuracy 0.7305 | Time : 18.932289123535156
Epoch 00032 | Loss 0.9915 | Accuracy 0.7389 | Time : 18.77418303489685
Epoch 00033 | Loss 0.9830 | Accuracy 0.7327 | Time : 18.7821786403656
Epoch 00034 | Loss 0.9906 | Accuracy 0.7360 | Time : 18.693541765213013
Epoch 00035 | Loss 0.9916 | Accuracy 0.7378 | Time : 18.753010511398315
Epoch 00036 | Loss 0.9827 | Accuracy 0.7336 | Time : 18.759033918380737
Epoch 00037 | Loss 0.9803 | Accuracy 0.7309 | Time : 18.937312841415405
Epoch 00038 | Loss 0.9808 | Accuracy 0.7349 | Time : 18.97056818008423
Epoch 00039 | Loss 0.9692 | Accuracy 0.7337 | Time : 18.906724214553833
Epoch 00040 | Loss 0.9706 | Accuracy 0.7368 | Time : 18.949236154556274
Epoch 00041 | Loss 0.9752 | Accuracy 0.7379 | Time : 18.792534112930298
Epoch 00042 | Loss 0.9844 | Accuracy 0.7393 | Time : 18.7993266582489
Epoch 00043 | Loss 0.9742 | Accuracy 0.7397 | Time : 18.827880382537842
Epoch 00044 | Loss 0.9720 | Accuracy 0.7401 | Time : 18.964016914367676
Epoch 00045 | Loss 0.9785 | Accuracy 0.7363 | Time : 18.824086904525757
Epoch 00046 | Loss 0.9767 | Accuracy 0.7226 | Time : 18.849857330322266
Epoch 00047 | Loss 0.9722 | Accuracy 0.7349 | Time : 18.821245670318604
Epoch 00048 | Loss 0.9708 | Accuracy 0.7349 | Time : 18.748480319976807
Epoch 00049 | Loss 0.9651 | Accuracy 0.7398 | Time : 18.837937593460083
Epoch 00050 | Loss 0.9726 | Accuracy 0.7338 | Time : 18.872499227523804
Epoch 00051 | Loss 0.9716 | Accuracy 0.7381 | Time : 18.724648237228394
Epoch 00052 | Loss 0.9657 | Accuracy 0.7390 | Time : 18.822415590286255
Epoch 00053 | Loss 0.9584 | Accuracy 0.7376 | Time : 18.872405529022217
Epoch 00054 | Loss 0.9706 | Accuracy 0.7416 | Time : 18.833781957626343
Epoch 00055 | Loss 0.9661 | Accuracy 0.7388 | Time : 18.881394863128662
Epoch 00056 | Loss 0.9622 | Accuracy 0.7411 | Time : 18.85697031021118
Epoch 00057 | Loss 0.9662 | Accuracy 0.7426 | Time : 18.80751323699951
Epoch 00058 | Loss 0.9602 | Accuracy 0.7393 | Time : 18.80787992477417
Epoch 00059 | Loss 0.9625 | Accuracy 0.7406 | Time : 18.829445600509644
Epoch 00060 | Loss 0.9668 | Accuracy 0.7425 | Time : 18.80683207511902
Epoch 00061 | Loss 0.9634 | Accuracy 0.7438 | Time : 18.822921991348267
Epoch 00062 | Loss 0.9614 | Accuracy 0.7427 | Time : 18.717174530029297
Epoch 00063 | Loss 0.9557 | Accuracy 0.7396 | Time : 18.74247121810913
Epoch 00064 | Loss 0.9574 | Accuracy 0.7461 | Time : 18.80817985534668
Epoch 00065 | Loss 0.9596 | Accuracy 0.7388 | Time : 18.81253433227539
Epoch 00066 | Loss 0.9634 | Accuracy 0.7431 | Time : 18.806795835494995
Epoch 00067 | Loss 0.9551 | Accuracy 0.7347 | Time : 18.863150596618652
Epoch 00068 | Loss 0.9561 | Accuracy 0.7465 | Time : 18.83251976966858
Epoch 00069 | Loss 0.9600 | Accuracy 0.7402 | Time : 18.836334228515625
Epoch 00070 | Loss 0.9575 | Accuracy 0.7403 | Time : 18.825775623321533
Epoch 00071 | Loss 0.9590 | Accuracy 0.7411 | Time : 18.844066619873047
Epoch 00072 | Loss 0.9657 | Accuracy 0.7444 | Time : 18.84939670562744
Epoch 00073 | Loss 0.9660 | Accuracy 0.7427 | Time : 18.83595895767212
Epoch 00074 | Loss 0.9607 | Accuracy 0.7430 | Time : 18.75378394126892
Epoch 00075 | Loss 0.9551 | Accuracy 0.7440 | Time : 18.811985731124878
Epoch 00076 | Loss 0.9578 | Accuracy 0.7424 | Time : 18.80085515975952
Epoch 00077 | Loss 0.9596 | Accuracy 0.7438 | Time : 18.802122116088867
Epoch 00078 | Loss 0.9510 | Accuracy 0.7368 | Time : 18.795352697372437
Epoch 00079 | Loss 0.9533 | Accuracy 0.7379 | Time : 18.8111310005188
Epoch 00080 | Loss 0.9547 | Accuracy 0.7420 | Time : 18.790804862976074
Epoch 00081 | Loss 0.9563 | Accuracy 0.7433 | Time : 18.809311389923096
Epoch 00082 | Loss 0.9499 | Accuracy 0.7441 | Time : 18.829307079315186
Epoch 00083 | Loss 0.9573 | Accuracy 0.7286 | Time : 18.864126205444336
Epoch 00084 | Loss 0.9593 | Accuracy 0.7381 | Time : 18.88934850692749
Epoch 00085 | Loss 0.9614 | Accuracy 0.7412 | Time : 18.810990810394287
Epoch 00086 | Loss 0.9514 | Accuracy 0.7442 | Time : 18.84686779975891
Epoch 00087 | Loss 0.9491 | Accuracy 0.7445 | Time : 18.854493379592896
Epoch 00088 | Loss 0.9475 | Accuracy 0.7409 | Time : 21.486498832702637
Epoch 00089 | Loss 0.9582 | Accuracy 0.7473 | Time : 22.146878004074097
Epoch 00090 | Loss 0.9579 | Accuracy 0.7373 | Time : 22.05978012084961
Epoch 00091 | Loss 0.9528 | Accuracy 0.7437 | Time : 22.187723875045776
Epoch 00092 | Loss 0.9459 | Accuracy 0.7397 | Time : 22.109293937683105
Epoch 00093 | Loss 0.9518 | Accuracy 0.7393 | Time : 22.108513832092285
Epoch 00094 | Loss 0.9513 | Accuracy 0.7436 | Time : 22.1651611328125
Epoch 00095 | Loss 0.9514 | Accuracy 0.7389 | Time : 22.132925510406494
Epoch 00096 | Loss 0.9485 | Accuracy 0.7432 | Time : 20.854750871658325
Epoch 00097 | Loss 0.9504 | Accuracy 0.7451 | Time : 19.86517643928528
Epoch 00098 | Loss 0.9564 | Accuracy 0.7403 | Time : 20.089139938354492
Epoch 00099 | Loss 0.9490 | Accuracy 0.7391 | Time : 19.865208625793457
Total Training time 1916.8419
Test Accuracy 0.5782
Total sampling time :  873.544644 , Total training time : 0.0
