Dataset = ogbn-products, batch_size = 8192
Epoch 00000 | Loss 3.5161 | Accuracy 0.3736 | Time : 12.066697359085083
Epoch 00001 | Loss 2.4594 | Accuracy 0.4300 | Time : 13.452704668045044
Epoch 00002 | Loss 2.2167 | Accuracy 0.5034 | Time : 12.891656160354614
Epoch 00003 | Loss 2.0163 | Accuracy 0.5320 | Time : 11.63251256942749
Epoch 00004 | Loss 1.9162 | Accuracy 0.5701 | Time : 13.348659038543701
Epoch 00005 | Loss 1.7951 | Accuracy 0.5753 | Time : 13.404377937316895
Epoch 00006 | Loss 1.7670 | Accuracy 0.6039 | Time : 11.466737747192383
Epoch 00007 | Loss 1.7079 | Accuracy 0.6026 | Time : 10.99842381477356
Epoch 00008 | Loss 1.6436 | Accuracy 0.6190 | Time : 13.972835302352905
Epoch 00009 | Loss 1.5886 | Accuracy 0.6164 | Time : 11.705007314682007
Epoch 00010 | Loss 1.6369 | Accuracy 0.6353 | Time : 13.376118659973145
Epoch 00011 | Loss 1.5467 | Accuracy 0.6291 | Time : 11.50807523727417
Epoch 00012 | Loss 1.5076 | Accuracy 0.6429 | Time : 13.326640367507935
Epoch 00013 | Loss 1.5013 | Accuracy 0.6456 | Time : 13.300049304962158
Epoch 00014 | Loss 1.4608 | Accuracy 0.6477 | Time : 13.509977340698242
Epoch 00015 | Loss 1.4566 | Accuracy 0.6578 | Time : 12.985130310058594
Epoch 00016 | Loss 1.4501 | Accuracy 0.6523 | Time : 10.767208576202393
Epoch 00017 | Loss 1.4370 | Accuracy 0.6567 | Time : 13.024706602096558
Epoch 00018 | Loss 1.3990 | Accuracy 0.6640 | Time : 13.634967803955078
Epoch 00019 | Loss 1.3887 | Accuracy 0.6629 | Time : 11.229962587356567
Epoch 00020 | Loss 1.4096 | Accuracy 0.6694 | Time : 13.513050079345703
Epoch 00021 | Loss 1.4082 | Accuracy 0.6682 | Time : 13.579284906387329
Epoch 00022 | Loss 1.3563 | Accuracy 0.6735 | Time : 10.665564060211182
Epoch 00023 | Loss 1.3425 | Accuracy 0.6713 | Time : 10.609067916870117
Epoch 00024 | Loss 1.3291 | Accuracy 0.6760 | Time : 10.601034164428711
Epoch 00025 | Loss 1.3123 | Accuracy 0.6806 | Time : 10.597842454910278
Epoch 00026 | Loss 1.3391 | Accuracy 0.6847 | Time : 10.579190254211426
Epoch 00027 | Loss 1.3233 | Accuracy 0.6727 | Time : 10.597836971282959
Epoch 00028 | Loss 1.2968 | Accuracy 0.6878 | Time : 10.595890045166016
Epoch 00029 | Loss 1.2753 | Accuracy 0.6870 | Time : 10.621409177780151
Epoch 00030 | Loss 1.2705 | Accuracy 0.6861 | Time : 10.58535885810852
Epoch 00031 | Loss 1.2729 | Accuracy 0.6873 | Time : 10.56514835357666
Epoch 00032 | Loss 1.2669 | Accuracy 0.6871 | Time : 10.567248582839966
Epoch 00033 | Loss 1.2438 | Accuracy 0.6905 | Time : 10.569504976272583
Epoch 00034 | Loss 1.2704 | Accuracy 0.6950 | Time : 10.579786777496338
Epoch 00035 | Loss 1.2602 | Accuracy 0.6873 | Time : 10.586623430252075
Epoch 00036 | Loss 1.2289 | Accuracy 0.6964 | Time : 10.567227840423584
Epoch 00037 | Loss 1.2328 | Accuracy 0.6947 | Time : 10.59189510345459
Epoch 00038 | Loss 1.2570 | Accuracy 0.7004 | Time : 10.578323602676392
Epoch 00039 | Loss 1.2625 | Accuracy 0.6923 | Time : 10.609856843948364
Epoch 00040 | Loss 1.2268 | Accuracy 0.6997 | Time : 10.589426755905151
Epoch 00041 | Loss 1.2433 | Accuracy 0.7008 | Time : 10.574660539627075
Epoch 00042 | Loss 1.2204 | Accuracy 0.6974 | Time : 10.5705726146698
Epoch 00043 | Loss 1.1857 | Accuracy 0.6978 | Time : 10.54863977432251
Epoch 00044 | Loss 1.2338 | Accuracy 0.7027 | Time : 10.58291220664978
Epoch 00045 | Loss 1.2216 | Accuracy 0.6974 | Time : 10.591253519058228
Epoch 00046 | Loss 1.1694 | Accuracy 0.7042 | Time : 10.550312042236328
Epoch 00047 | Loss 1.2715 | Accuracy 0.7039 | Time : 10.573471546173096
Epoch 00048 | Loss 1.2026 | Accuracy 0.7049 | Time : 10.577237367630005
Epoch 00049 | Loss 1.1693 | Accuracy 0.7079 | Time : 10.575509309768677
Epoch 00050 | Loss 1.1743 | Accuracy 0.7055 | Time : 10.591019630432129
