Dataset = ogbn-arxiv, batch_size = 4096
Epoch 00000 | Loss 3.2654 | Accuracy 0.2610 | Time : 1.4962408542633057
Epoch 00001 | Loss 2.6038 | Accuracy 0.4205 | Time : 0.5913066864013672
Epoch 00002 | Loss 2.2496 | Accuracy 0.4992 | Time : 0.5855786800384521
Epoch 00003 | Loss 2.0338 | Accuracy 0.5337 | Time : 0.5825135707855225
Epoch 00004 | Loss 1.8827 | Accuracy 0.5505 | Time : 0.5905544757843018
Epoch 00005 | Loss 1.7900 | Accuracy 0.5649 | Time : 0.589191198348999
Epoch 00006 | Loss 1.7248 | Accuracy 0.5683 | Time : 0.5953893661499023
Epoch 00007 | Loss 1.6795 | Accuracy 0.5727 | Time : 0.5864994525909424
Epoch 00008 | Loss 1.6358 | Accuracy 0.5821 | Time : 0.594292402267456
Epoch 00009 | Loss 1.6061 | Accuracy 0.5828 | Time : 0.5912113189697266
Epoch 00010 | Loss 1.5785 | Accuracy 0.5858 | Time : 0.5946502685546875
Epoch 00011 | Loss 1.5633 | Accuracy 0.5824 | Time : 0.5916275978088379
Epoch 00012 | Loss 1.5418 | Accuracy 0.5916 | Time : 0.5887618064880371
Epoch 00013 | Loss 1.5257 | Accuracy 0.5899 | Time : 0.597914457321167
Epoch 00014 | Loss 1.5118 | Accuracy 0.5937 | Time : 0.5935652256011963
Epoch 00015 | Loss 1.4988 | Accuracy 0.5947 | Time : 0.589545488357544
Epoch 00016 | Loss 1.4806 | Accuracy 0.5946 | Time : 0.5882399082183838
Epoch 00017 | Loss 1.4795 | Accuracy 0.5984 | Time : 0.5929369926452637
Epoch 00018 | Loss 1.4690 | Accuracy 0.5994 | Time : 0.5751311779022217
Epoch 00019 | Loss 1.4558 | Accuracy 0.5996 | Time : 0.5829064846038818
Epoch 00020 | Loss 1.4465 | Accuracy 0.6021 | Time : 0.5955533981323242
Epoch 00021 | Loss 1.4444 | Accuracy 0.5974 | Time : 0.5969483852386475
Epoch 00022 | Loss 1.4341 | Accuracy 0.6012 | Time : 0.581864595413208
Epoch 00023 | Loss 1.4305 | Accuracy 0.6001 | Time : 0.5866794586181641
Epoch 00024 | Loss 1.4262 | Accuracy 0.5983 | Time : 0.5951406955718994
Epoch 00025 | Loss 1.4152 | Accuracy 0.6065 | Time : 0.597973108291626
Epoch 00026 | Loss 1.4103 | Accuracy 0.5998 | Time : 0.5936517715454102
Epoch 00027 | Loss 1.4060 | Accuracy 0.6066 | Time : 0.5952045917510986
Epoch 00028 | Loss 1.4045 | Accuracy 0.6035 | Time : 0.5876390933990479
