Dataset = ogbn-products, batch_size = 4096
Epoch 00000 | Loss 3.0084 | Accuracy 0.4482 | Time : 18.256256103515625
Epoch 00001 | Loss 2.1159 | Accuracy 0.5538 | Time : 17.348579168319702
Epoch 00002 | Loss 1.8410 | Accuracy 0.5861 | Time : 17.35815715789795
Epoch 00003 | Loss 1.6961 | Accuracy 0.6124 | Time : 17.333637952804565
Epoch 00004 | Loss 1.6259 | Accuracy 0.6315 | Time : 17.28353190422058
Epoch 00005 | Loss 1.5465 | Accuracy 0.6454 | Time : 17.29197645187378
Epoch 00006 | Loss 1.4828 | Accuracy 0.6526 | Time : 20.42107629776001
Epoch 00007 | Loss 1.4739 | Accuracy 0.6625 | Time : 18.292944192886353
Epoch 00008 | Loss 1.4101 | Accuracy 0.6696 | Time : 17.341768503189087
Epoch 00009 | Loss 1.3882 | Accuracy 0.6743 | Time : 17.268022537231445
Epoch 00010 | Loss 1.3346 | Accuracy 0.6797 | Time : 17.386853218078613
Epoch 00011 | Loss 1.3197 | Accuracy 0.6830 | Time : 17.390753507614136
Epoch 00012 | Loss 1.3025 | Accuracy 0.6892 | Time : 17.383882522583008
Epoch 00013 | Loss 1.2638 | Accuracy 0.6901 | Time : 17.326852321624756
Epoch 00014 | Loss 1.2591 | Accuracy 0.6964 | Time : 17.33841896057129
Epoch 00015 | Loss 1.2515 | Accuracy 0.6959 | Time : 17.33367347717285
Epoch 00016 | Loss 1.2453 | Accuracy 0.6992 | Time : 17.36180329322815
Epoch 00017 | Loss 1.2472 | Accuracy 0.7010 | Time : 17.31777000427246
Epoch 00018 | Loss 1.2185 | Accuracy 0.7009 | Time : 22.272302627563477
Epoch 00019 | Loss 1.1975 | Accuracy 0.7071 | Time : 19.18819761276245
Epoch 00020 | Loss 1.1805 | Accuracy 0.7063 | Time : 17.36114525794983
Epoch 00021 | Loss 1.1775 | Accuracy 0.7102 | Time : 17.310052633285522
Epoch 00022 | Loss 1.1677 | Accuracy 0.7138 | Time : 17.33905601501465
Epoch 00023 | Loss 1.1484 | Accuracy 0.7129 | Time : 17.428231954574585
Epoch 00024 | Loss 1.1328 | Accuracy 0.7077 | Time : 17.37673306465149
Epoch 00025 | Loss 1.1264 | Accuracy 0.7170 | Time : 17.360721826553345
Epoch 00026 | Loss 1.1296 | Accuracy 0.7176 | Time : 17.380979776382446
Epoch 00027 | Loss 1.1086 | Accuracy 0.7189 | Time : 17.343013525009155
Epoch 00028 | Loss 1.1157 | Accuracy 0.7109 | Time : 17.337276697158813
Epoch 00029 | Loss 1.1391 | Accuracy 0.7160 | Time : 17.32536029815674
Epoch 00030 | Loss 1.1085 | Accuracy 0.7234 | Time : 17.338433980941772
Epoch 00031 | Loss 1.1102 | Accuracy 0.7262 | Time : 17.298576593399048
Epoch 00032 | Loss 1.0978 | Accuracy 0.7178 | Time : 17.346381425857544
Epoch 00033 | Loss 1.1055 | Accuracy 0.7230 | Time : 17.320523262023926
Epoch 00034 | Loss 1.0923 | Accuracy 0.7266 | Time : 17.309503078460693
Epoch 00035 | Loss 1.0759 | Accuracy 0.7265 | Time : 17.355626106262207
Epoch 00036 | Loss 1.0955 | Accuracy 0.7240 | Time : 17.278676509857178
Epoch 00037 | Loss 1.0641 | Accuracy 0.7273 | Time : 17.320624351501465
Epoch 00038 | Loss 1.0675 | Accuracy 0.7287 | Time : 17.319875955581665
Epoch 00039 | Loss 1.0758 | Accuracy 0.7242 | Time : 17.313217401504517
Epoch 00040 | Loss 1.0706 | Accuracy 0.7250 | Time : 17.35767912864685
Epoch 00041 | Loss 1.0646 | Accuracy 0.7307 | Time : 17.287036895751953
Epoch 00042 | Loss 1.0622 | Accuracy 0.7276 | Time : 17.346473217010498
Epoch 00043 | Loss 1.0716 | Accuracy 0.7325 | Time : 17.33959937095642
Epoch 00044 | Loss 1.0521 | Accuracy 0.7341 | Time : 17.320008993148804
Epoch 00045 | Loss 1.0677 | Accuracy 0.7332 | Time : 17.275214195251465
Epoch 00046 | Loss 1.0564 | Accuracy 0.7284 | Time : 17.338916063308716
Epoch 00047 | Loss 1.0432 | Accuracy 0.7374 | Time : 17.2704017162323
Epoch 00048 | Loss 1.0350 | Accuracy 0.7342 | Time : 17.30024528503418
Epoch 00049 | Loss 1.0234 | Accuracy 0.7303 | Time : 17.308957815170288
Epoch 00050 | Loss 1.0305 | Accuracy 0.7347 | Time : 17.280802488327026
Epoch 00051 | Loss 1.0435 | Accuracy 0.7341 | Time : 17.387720346450806
Epoch 00052 | Loss 1.0451 | Accuracy 0.7367 | Time : 17.270206451416016
Epoch 00053 | Loss 1.0177 | Accuracy 0.7361 | Time : 17.32634210586548
Epoch 00054 | Loss 1.0305 | Accuracy 0.7316 | Time : 17.361697912216187
Epoch 00055 | Loss 1.0280 | Accuracy 0.7373 | Time : 17.312421560287476
Epoch 00056 | Loss 1.0300 | Accuracy 0.7383 | Time : 17.33290195465088
Epoch 00057 | Loss 1.0148 | Accuracy 0.7280 | Time : 17.37196159362793
Epoch 00058 | Loss 1.0244 | Accuracy 0.7394 | Time : 17.30058217048645
Epoch 00059 | Loss 1.0226 | Accuracy 0.7366 | Time : 17.39042568206787
Epoch 00060 | Loss 1.0421 | Accuracy 0.7413 | Time : 17.3740713596344
Epoch 00061 | Loss 1.0267 | Accuracy 0.7395 | Time : 17.277716875076294
Epoch 00062 | Loss 1.0160 | Accuracy 0.7386 | Time : 17.289063215255737
Epoch 00063 | Loss 1.0102 | Accuracy 0.7441 | Time : 17.269954204559326
Epoch 00064 | Loss 1.0211 | Accuracy 0.7429 | Time : 17.336124658584595
Epoch 00065 | Loss 1.0256 | Accuracy 0.7375 | Time : 17.3532075881958
Epoch 00066 | Loss 1.0127 | Accuracy 0.7414 | Time : 17.323663473129272
Epoch 00067 | Loss 0.9985 | Accuracy 0.7405 | Time : 17.30775237083435
Epoch 00068 | Loss 0.9811 | Accuracy 0.7436 | Time : 17.363531589508057
Epoch 00069 | Loss 1.0042 | Accuracy 0.7451 | Time : 17.369762659072876
Epoch 00070 | Loss 1.0060 | Accuracy 0.7342 | Time : 17.355404376983643
Epoch 00071 | Loss 1.0357 | Accuracy 0.7415 | Time : 17.44663906097412
Epoch 00072 | Loss 1.0193 | Accuracy 0.7385 | Time : 17.349408388137817
Epoch 00073 | Loss 1.0275 | Accuracy 0.7424 | Time : 17.27169942855835
Epoch 00074 | Loss 1.0099 | Accuracy 0.7368 | Time : 17.3720920085907
