Dataset = ogbn-arxiv, batch_size = 8192
Epoch 00000 | Loss 3.5847 | Accuracy 0.2397 | Time : 1.2850611209869385
Epoch 00001 | Loss 2.9622 | Accuracy 0.2722 | Time : 0.3903045654296875
Epoch 00002 | Loss 2.6672 | Accuracy 0.3670 | Time : 0.3929569721221924
Epoch 00003 | Loss 2.4343 | Accuracy 0.4482 | Time : 0.39318299293518066
Epoch 00004 | Loss 2.2542 | Accuracy 0.4869 | Time : 0.39491748809814453
Epoch 00005 | Loss 2.1159 | Accuracy 0.5116 | Time : 0.3912379741668701
Epoch 00006 | Loss 2.0158 | Accuracy 0.5292 | Time : 0.38687801361083984
Epoch 00007 | Loss 1.9257 | Accuracy 0.5379 | Time : 0.3987898826599121
Epoch 00008 | Loss 1.8677 | Accuracy 0.5484 | Time : 0.39089059829711914
Epoch 00009 | Loss 1.8105 | Accuracy 0.5537 | Time : 0.39695310592651367
Epoch 00010 | Loss 1.7611 | Accuracy 0.5587 | Time : 0.3882405757904053
Epoch 00011 | Loss 1.7324 | Accuracy 0.5649 | Time : 0.3871581554412842
Epoch 00012 | Loss 1.6989 | Accuracy 0.5683 | Time : 0.3898310661315918
Epoch 00013 | Loss 1.6806 | Accuracy 0.5692 | Time : 0.3977530002593994
Epoch 00014 | Loss 1.6627 | Accuracy 0.5701 | Time : 0.3984184265136719
Epoch 00015 | Loss 1.6363 | Accuracy 0.5738 | Time : 0.39113354682922363
Epoch 00016 | Loss 1.6122 | Accuracy 0.5794 | Time : 0.39375734329223633
Epoch 00017 | Loss 1.6011 | Accuracy 0.5798 | Time : 0.38983654975891113
Epoch 00018 | Loss 1.5842 | Accuracy 0.5820 | Time : 0.39342379570007324
Epoch 00019 | Loss 1.5694 | Accuracy 0.5848 | Time : 0.39354467391967773
Epoch 00020 | Loss 1.5581 | Accuracy 0.5855 | Time : 0.390916109085083
Epoch 00021 | Loss 1.5442 | Accuracy 0.5838 | Time : 0.393693208694458
Epoch 00022 | Loss 1.5474 | Accuracy 0.5886 | Time : 0.39211440086364746
Epoch 00023 | Loss 1.5317 | Accuracy 0.5897 | Time : 0.3924107551574707
Epoch 00024 | Loss 1.5206 | Accuracy 0.5927 | Time : 0.396160364151001
Epoch 00025 | Loss 1.5121 | Accuracy 0.5924 | Time : 0.38715100288391113
