Dataset = ogbn-products, batch_size = 1024
Epoch 00000 | Loss 2.2893 | Accuracy 0.5711 | Time : 46.04413843154907
Epoch 00001 | Loss 1.6076 | Accuracy 0.6399 | Time : 45.069814920425415
Epoch 00002 | Loss 1.4287 | Accuracy 0.6763 | Time : 45.281352519989014
Epoch 00003 | Loss 1.3156 | Accuracy 0.6905 | Time : 45.094266414642334
Epoch 00004 | Loss 1.2476 | Accuracy 0.7037 | Time : 45.09898567199707
Epoch 00005 | Loss 1.1968 | Accuracy 0.7025 | Time : 44.97760844230652
Epoch 00006 | Loss 1.1608 | Accuracy 0.7047 | Time : 45.09366989135742
Epoch 00007 | Loss 1.1304 | Accuracy 0.7128 | Time : 45.08538365364075
Epoch 00008 | Loss 1.1034 | Accuracy 0.7256 | Time : 45.225518465042114
Epoch 00009 | Loss 1.0837 | Accuracy 0.7250 | Time : 45.0335853099823
Epoch 00010 | Loss 1.0753 | Accuracy 0.7298 | Time : 44.97602128982544
Epoch 00011 | Loss 1.0643 | Accuracy 0.7284 | Time : 44.90654373168945
Epoch 00012 | Loss 1.0508 | Accuracy 0.7350 | Time : 45.0634663105011
Epoch 00013 | Loss 1.0324 | Accuracy 0.7225 | Time : 45.036535024642944
Epoch 00014 | Loss 1.0313 | Accuracy 0.7352 | Time : 45.19037938117981
Epoch 00015 | Loss 1.0188 | Accuracy 0.7375 | Time : 44.94282269477844
Epoch 00016 | Loss 1.0118 | Accuracy 0.7363 | Time : 45.130778312683105
Epoch 00017 | Loss 1.0169 | Accuracy 0.7447 | Time : 45.131821155548096
Epoch 00018 | Loss 1.0026 | Accuracy 0.7414 | Time : 45.38182473182678
Epoch 00019 | Loss 0.9909 | Accuracy 0.7495 | Time : 45.03814077377319
Epoch 00020 | Loss 0.9850 | Accuracy 0.7413 | Time : 45.085192918777466
Epoch 00021 | Loss 0.9884 | Accuracy 0.7395 | Time : 44.979456424713135
Epoch 00022 | Loss 0.9930 | Accuracy 0.7449 | Time : 45.06223678588867
Epoch 00023 | Loss 0.9815 | Accuracy 0.7456 | Time : 45.27084565162659
Epoch 00024 | Loss 0.9770 | Accuracy 0.7518 | Time : 45.022836208343506
Epoch 00025 | Loss 0.9694 | Accuracy 0.7415 | Time : 45.42227053642273
Epoch 00026 | Loss 0.9733 | Accuracy 0.7458 | Time : 45.05469584465027
Epoch 00027 | Loss 0.9707 | Accuracy 0.7494 | Time : 45.05932331085205
Epoch 00028 | Loss 0.9650 | Accuracy 0.7341 | Time : 45.021737813949585
Epoch 00029 | Loss 0.9710 | Accuracy 0.7497 | Time : 45.05601692199707
Epoch 00030 | Loss 0.9684 | Accuracy 0.7560 | Time : 45.07927894592285
Epoch 00031 | Loss 0.9617 | Accuracy 0.7491 | Time : 45.03919959068298
Epoch 00032 | Loss 0.9543 | Accuracy 0.7528 | Time : 45.044936418533325
Epoch 00033 | Loss 0.9690 | Accuracy 0.7582 | Time : 45.105743646621704
Epoch 00034 | Loss 0.9727 | Accuracy 0.7548 | Time : 44.9961953163147
Epoch 00035 | Loss 0.9597 | Accuracy 0.7505 | Time : 44.93380308151245
Epoch 00036 | Loss 0.9582 | Accuracy 0.7403 | Time : 44.97600555419922
Epoch 00037 | Loss 0.9482 | Accuracy 0.7535 | Time : 44.998950719833374
Epoch 00038 | Loss 0.9440 | Accuracy 0.7586 | Time : 45.040653705596924
Epoch 00039 | Loss 0.9446 | Accuracy 0.7529 | Time : 46.459015130996704
Epoch 00040 | Loss 0.9448 | Accuracy 0.7447 | Time : 45.017239570617676
Epoch 00041 | Loss 0.9445 | Accuracy 0.7616 | Time : 44.975836515426636
Epoch 00042 | Loss 0.9407 | Accuracy 0.7562 | Time : 45.27447533607483
Epoch 00043 | Loss 0.9476 | Accuracy 0.7506 | Time : 52.80673575401306
Epoch 00044 | Loss 0.9491 | Accuracy 0.7586 | Time : 53.178287982940674
Epoch 00045 | Loss 0.9553 | Accuracy 0.7499 | Time : 55.043625831604004
Epoch 00046 | Loss 0.9460 | Accuracy 0.7508 | Time : 51.50789523124695
Epoch 00047 | Loss 0.9371 | Accuracy 0.7460 | Time : 54.00337815284729
Epoch 00048 | Loss 0.9375 | Accuracy 0.7462 | Time : 51.24050760269165
Epoch 00049 | Loss 0.9364 | Accuracy 0.7549 | Time : 50.7659797668457
Epoch 00050 | Loss 0.9357 | Accuracy 0.7503 | Time : 45.04223871231079
Epoch 00051 | Loss 0.9377 | Accuracy 0.7602 | Time : 45.050119161605835
Epoch 00052 | Loss 0.9383 | Accuracy 0.7319 | Time : 45.08894920349121
Epoch 00053 | Loss 0.9344 | Accuracy 0.7589 | Time : 45.085124492645264
Epoch 00054 | Loss 0.9315 | Accuracy 0.7562 | Time : 45.03076148033142
Epoch 00055 | Loss 0.9343 | Accuracy 0.7441 | Time : 45.044283866882324
Epoch 00056 | Loss 0.9357 | Accuracy 0.7459 | Time : 45.01600503921509
Epoch 00057 | Loss 0.9396 | Accuracy 0.7619 | Time : 45.05470252037048
Epoch 00058 | Loss 0.9329 | Accuracy 0.7549 | Time : 44.991652727127075
Epoch 00059 | Loss 0.9294 | Accuracy 0.7614 | Time : 45.00660300254822
Epoch 00060 | Loss 0.9247 | Accuracy 0.7478 | Time : 45.003401041030884
Epoch 00061 | Loss 0.9309 | Accuracy 0.7520 | Time : 45.01485276222229
Epoch 00062 | Loss 0.9329 | Accuracy 0.7528 | Time : 45.061927318573
