Dataset = ogbn-products, batch_size = 2048
Epoch 00073 | Loss 0.9440 | Accuracy 0.7475 | Time : 28.074547052383423
Epoch 00074 | Loss 0.9517 | Accuracy 0.7548 | Time : 28.07265615463257
Epoch 00075 | Loss 0.9565 | Accuracy 0.7481 | Time : 28.092885971069336
Epoch 00076 | Loss 0.9523 | Accuracy 0.7503 | Time : 28.047505855560303
Epoch 00077 | Loss 0.9367 | Accuracy 0.7451 | Time : 28.0446560382843
Epoch 00078 | Loss 0.9387 | Accuracy 0.7561 | Time : 28.059978008270264
Epoch 00079 | Loss 0.9490 | Accuracy 0.7526 | Time : 28.07580256462097
Epoch 00080 | Loss 0.9528 | Accuracy 0.7453 | Time : 28.047279596328735
Epoch 00081 | Loss 0.9591 | Accuracy 0.7498 | Time : 28.04431414604187
Epoch 00082 | Loss 0.9483 | Accuracy 0.7575 | Time : 28.05880093574524
Epoch 00083 | Loss 0.9453 | Accuracy 0.7552 | Time : 28.063711166381836
Epoch 00084 | Loss 0.9357 | Accuracy 0.7571 | Time : 28.061238288879395
Epoch 00085 | Loss 0.9248 | Accuracy 0.7597 | Time : 28.04377293586731
Epoch 00086 | Loss 0.9248 | Accuracy 0.7418 | Time : 28.024394989013672
Epoch 00087 | Loss 0.9371 | Accuracy 0.7588 | Time : 28.06113624572754
Epoch 00088 | Loss 0.9442 | Accuracy 0.7598 | Time : 28.02991509437561
Epoch 00089 | Loss 0.9536 | Accuracy 0.7496 | Time : 28.030128479003906
Epoch 00090 | Loss 0.9519 | Accuracy 0.7564 | Time : 27.995038986206055
Epoch 00091 | Loss 0.9357 | Accuracy 0.7539 | Time : 28.161528825759888
Epoch 00092 | Loss 0.9352 | Accuracy 0.7604 | Time : 28.054500102996826
Epoch 00093 | Loss 0.9435 | Accuracy 0.7467 | Time : 28.106386423110962
Epoch 00094 | Loss 0.9436 | Accuracy 0.7586 | Time : 28.08297824859619
Epoch 00095 | Loss 0.9395 | Accuracy 0.7556 | Time : 28.090535163879395
Epoch 00096 | Loss 0.9563 | Accuracy 0.7547 | Time : 28.040594339370728
Epoch 00097 | Loss 0.9542 | Accuracy 0.7582 | Time : 27.976176023483276
Epoch 00098 | Loss 0.9411 | Accuracy 0.7607 | Time : 27.97934865951538
Epoch 00099 | Loss 0.9415 | Accuracy 0.7508 | Time : 27.995718002319336
Total sampling time :  1834.642834 , Total training time : 2810.371327161788936
Total sampling time :  1834.642834/100 , Total training time : 2810.371327161788936/100
Test Accuracy 0.6066

