Dataset = ogbn-arxiv, batch_size = 2048
Epoch 00072 | Loss 1.2931 | Accuracy 0.6136 | Time : 0.9558720588684082
Epoch 00073 | Loss 1.2905 | Accuracy 0.6155 | Time : 0.9642646312713623
Epoch 00074 | Loss 1.2889 | Accuracy 0.6144 | Time : 0.9570708274841309
Epoch 00075 | Loss 1.2868 | Accuracy 0.6131 | Time : 0.9591038227081299
Epoch 00076 | Loss 1.2838 | Accuracy 0.6130 | Time : 0.9641256332397461
Epoch 00077 | Loss 1.2856 | Accuracy 0.6137 | Time : 0.9595832824707031
Epoch 00078 | Loss 1.2877 | Accuracy 0.6153 | Time : 0.9682586193084717
Epoch 00079 | Loss 1.2838 | Accuracy 0.6169 | Time : 0.9583940505981445
Epoch 00080 | Loss 1.2835 | Accuracy 0.6191 | Time : 0.957606315612793
Epoch 00081 | Loss 1.2846 | Accuracy 0.6151 | Time : 0.9661240577697754
Epoch 00082 | Loss 1.2831 | Accuracy 0.6177 | Time : 0.959115743637085
Epoch 00083 | Loss 1.2824 | Accuracy 0.6171 | Time : 0.9547584056854248
Epoch 00084 | Loss 1.2787 | Accuracy 0.6149 | Time : 0.9576101303100586
Epoch 00085 | Loss 1.2790 | Accuracy 0.6169 | Time : 0.965691089630127
Epoch 00086 | Loss 1.2771 | Accuracy 0.6194 | Time : 0.9595625400543213
Epoch 00087 | Loss 1.2808 | Accuracy 0.6176 | Time : 0.9619958400726318
Epoch 00088 | Loss 1.2786 | Accuracy 0.6152 | Time : 0.9610834121704102
Epoch 00089 | Loss 1.2780 | Accuracy 0.6179 | Time : 0.9571056365966797
Epoch 00090 | Loss 1.2813 | Accuracy 0.6191 | Time : 0.9633760452270508
Epoch 00091 | Loss 1.2789 | Accuracy 0.6178 | Time : 0.958094596862793
Epoch 00092 | Loss 1.2788 | Accuracy 0.6174 | Time : 0.9634072780609131
Epoch 00093 | Loss 1.2762 | Accuracy 0.6144 | Time : 0.9614343643188477
Epoch 00094 | Loss 1.2759 | Accuracy 0.6190 | Time : 0.9607813358306885
Epoch 00095 | Loss 1.2768 | Accuracy 0.6137 | Time : 0.9574780464172363
Epoch 00096 | Loss 1.2738 | Accuracy 0.6176 | Time : 0.9597125053405762
Epoch 00097 | Loss 1.2742 | Accuracy 0.6172 | Time : 0.9634659290313721
Epoch 00098 | Loss 1.2760 | Accuracy 0.6182 | Time : 0.9588327407836914
Epoch 00099 | Loss 1.2738 | Accuracy 0.6170 | Time : 0.9592292308807373
Total sampling time :  32.125888 , Total training time : 96.8137135505676271
Total sampling time :  32.125888/100 , Total training time : 96.8137135505676271/100
Test Accuracy 0.5675

