Dataset = ogbn-arxiv, batch_size = 1024
Epoch 00000 | Loss 2.6264 | Accuracy 0.5033 | Time : 2.6341590881347656
Epoch 00001 | Loss 1.9058 | Accuracy 0.5575 | Time : 1.7336187362670898
Epoch 00002 | Loss 1.7104 | Accuracy 0.5730 | Time : 1.7344307899475098
Epoch 00003 | Loss 1.6176 | Accuracy 0.5841 | Time : 1.7251684665679932
Epoch 00004 | Loss 1.5633 | Accuracy 0.5873 | Time : 1.7363877296447754
Epoch 00005 | Loss 1.5260 | Accuracy 0.5930 | Time : 1.727086067199707
Epoch 00006 | Loss 1.4953 | Accuracy 0.5972 | Time : 1.7349638938903809
Epoch 00007 | Loss 1.4753 | Accuracy 0.5964 | Time : 1.7385146617889404
Epoch 00008 | Loss 1.4538 | Accuracy 0.5971 | Time : 1.7343356609344482
Epoch 00009 | Loss 1.4396 | Accuracy 0.6012 | Time : 1.734300136566162
Epoch 00010 | Loss 1.4297 | Accuracy 0.6019 | Time : 1.7467141151428223
Epoch 00011 | Loss 1.4141 | Accuracy 0.6007 | Time : 1.7385787963867188
Epoch 00012 | Loss 1.4044 | Accuracy 0.5987 | Time : 1.734884262084961
Epoch 00013 | Loss 1.4003 | Accuracy 0.6031 | Time : 1.732414960861206
Epoch 00014 | Loss 1.3906 | Accuracy 0.6040 | Time : 1.728090524673462
Epoch 00015 | Loss 1.3870 | Accuracy 0.6041 | Time : 1.7399890422821045
Epoch 00016 | Loss 1.3811 | Accuracy 0.6078 | Time : 1.7366394996643066
Epoch 00017 | Loss 1.3739 | Accuracy 0.6027 | Time : 1.7439830303192139
Epoch 00018 | Loss 1.3682 | Accuracy 0.6007 | Time : 1.7354533672332764
Epoch 00019 | Loss 1.3646 | Accuracy 0.6103 | Time : 1.7332093715667725
Epoch 00020 | Loss 1.3589 | Accuracy 0.6102 | Time : 1.7437107563018799
Epoch 00021 | Loss 1.3560 | Accuracy 0.6071 | Time : 1.7478110790252686
Epoch 00022 | Loss 1.3543 | Accuracy 0.6097 | Time : 1.7329516410827637
Epoch 00023 | Loss 1.3469 | Accuracy 0.6073 | Time : 1.7456309795379639
Epoch 00024 | Loss 1.3410 | Accuracy 0.6076 | Time : 1.7448039054870605
Epoch 00025 | Loss 1.3432 | Accuracy 0.6104 | Time : 1.7363693714141846
Epoch 00026 | Loss 1.3392 | Accuracy 0.6113 | Time : 1.7364490032196045
Epoch 00027 | Loss 1.3381 | Accuracy 0.6131 | Time : 1.7370853424072266
Epoch 00028 | Loss 1.3319 | Accuracy 0.6111 | Time : 1.732410192489624
Epoch 00029 | Loss 1.3306 | Accuracy 0.6057 | Time : 1.7392246723175049
Epoch 00030 | Loss 1.3318 | Accuracy 0.6155 | Time : 1.7385056018829346
Epoch 00031 | Loss 1.3274 | Accuracy 0.6154 | Time : 1.7307894229888916
Epoch 00032 | Loss 1.3217 | Accuracy 0.6101 | Time : 1.7318062782287598
Epoch 00033 | Loss 1.3245 | Accuracy 0.6032 | Time : 1.735163927078247
Epoch 00034 | Loss 1.3209 | Accuracy 0.6139 | Time : 1.7358129024505615
Epoch 00035 | Loss 1.3187 | Accuracy 0.6133 | Time : 1.7413456439971924
Epoch 00036 | Loss 1.3195 | Accuracy 0.6085 | Time : 1.7283308506011963
Epoch 00037 | Loss 1.3126 | Accuracy 0.6147 | Time : 1.7402379512786865
Epoch 00038 | Loss 1.3140 | Accuracy 0.6147 | Time : 1.7379541397094727
Epoch 00039 | Loss 1.3142 | Accuracy 0.6111 | Time : 1.7382025718688965
Epoch 00040 | Loss 1.3109 | Accuracy 0.6149 | Time : 1.7472710609436035
Epoch 00041 | Loss 1.3106 | Accuracy 0.6129 | Time : 1.7412865161895752
Epoch 00042 | Loss 1.3074 | Accuracy 0.6134 | Time : 1.732733964920044
Epoch 00043 | Loss 1.3100 | Accuracy 0.6072 | Time : 1.7491333484649658
Epoch 00044 | Loss 1.3068 | Accuracy 0.6152 | Time : 1.7401692867279053
Epoch 00045 | Loss 1.3028 | Accuracy 0.6160 | Time : 1.7356505393981934
Epoch 00046 | Loss 1.3032 | Accuracy 0.6160 | Time : 1.745574951171875
Epoch 00047 | Loss 1.3035 | Accuracy 0.6161 | Time : 1.7437808513641357
Epoch 00048 | Loss 1.3032 | Accuracy 0.6131 | Time : 1.7418973445892334
Epoch 00049 | Loss 1.3009 | Accuracy 0.6103 | Time : 1.7336528301239014
Epoch 00050 | Loss 1.2979 | Accuracy 0.6132 | Time : 1.7392244338989258
Epoch 00051 | Loss 1.2980 | Accuracy 0.6153 | Time : 1.7389075756072998
Epoch 00052 | Loss 1.2989 | Accuracy 0.6165 | Time : 1.7427480220794678
Epoch 00053 | Loss 1.2943 | Accuracy 0.6132 | Time : 1.7334315776824951
Epoch 00054 | Loss 1.2957 | Accuracy 0.6166 | Time : 1.7295548915863037
Epoch 00055 | Loss 1.2966 | Accuracy 0.6121 | Time : 1.7408134937286377
Epoch 00056 | Loss 1.2932 | Accuracy 0.6139 | Time : 1.7482995986938477
Epoch 00057 | Loss 1.2923 | Accuracy 0.6129 | Time : 1.7396330833435059
Epoch 00058 | Loss 1.2926 | Accuracy 0.6148 | Time : 1.734755039215088
Epoch 00059 | Loss 1.2919 | Accuracy 0.6168 | Time : 1.743199348449707
Epoch 00060 | Loss 1.2931 | Accuracy 0.6156 | Time : 1.739790439605713
Epoch 00061 | Loss 1.2895 | Accuracy 0.6199 | Time : 1.7336843013763428
Epoch 00062 | Loss 1.2893 | Accuracy 0.6129 | Time : 1.7416658401489258
Epoch 00063 | Loss 1.2897 | Accuracy 0.6150 | Time : 1.7409796714782715
Epoch 00064 | Loss 1.2881 | Accuracy 0.6177 | Time : 1.745976448059082
Epoch 00065 | Loss 1.2836 | Accuracy 0.6153 | Time : 1.7409725189208984
Epoch 00066 | Loss 1.2841 | Accuracy 0.6161 | Time : 1.7457563877105713
Epoch 00067 | Loss 1.2876 | Accuracy 0.6128 | Time : 1.7441942691802979
Epoch 00068 | Loss 1.2870 | Accuracy 0.6152 | Time : 1.7424275875091553
