cuda, sapmling, time:, 0.001742
cuda, sapmling, time:, 0.001860
cuda, sapmling, time:, 0.002029
cuda, sapmling, time:, 0.000284
cuda, sapmling, time:, 0.000519
cuda, sapmling, time:, 0.000879
cuda, sapmling, time:, 0.000679
cuda, sapmling, time:, 0.001681
cuda, sapmling, time:, 0.001946
cuda, sapmling, time:, 0.000132
cuda, sapmling, time:, 0.000631
cuda, sapmling, time:, 0.001729
cuda, sapmling, time:, 0.000620
cuda, sapmling, time:, 0.001550
cuda, sapmling, time:, 0.001801
cuda, sapmling, time:, 0.000091
cuda, sapmling, time:, 0.000431
cuda, sapmling, time:, 0.001968
cuda, sapmling, time:, 0.000088
cuda, sapmling, time:, 0.000411
cuda, sapmling, time:, 0.000861
cuda, sapmling, time:, 0.000094
cuda, sapmling, time:, 0.000800
cuda, sapmling, time:, 0.001799
cuda, sapmling, time:, 0.000579
cuda, sapmling, time:, 0.000681
cuda, sapmling, time:, 0.001158
cuda, sapmling, time:, 0.000197
cuda, sapmling, time:, 0.000633
cuda, sapmling, time:, 0.000913
cuda, sapmling, time:, 0.000156
cuda, sapmling, time:, 0.000407
cuda, sapmling, time:, 0.001754
cuda, sapmling, time:, 0.000628
cuda, sapmling, time:, 0.001320
cuda, sapmling, time:, 0.001851
cuda, sapmling, time:, 0.000263
cuda, sapmling, time:, 0.000423
cuda, sapmling, time:, 0.001988
cuda, sapmling, time:, 0.001277
cuda, sapmling, time:, 0.001372
cuda, sapmling, time:, 0.001768
cuda, sapmling, time:, 0.000318
cuda, sapmling, time:, 0.001420
cuda, sapmling, time:, 0.001884
cuda, sapmling, time:, 0.000091
cuda, sapmling, time:, 0.000806
cuda, sapmling, time:, 0.000981
cuda, sapmling, time:, 0.001983
cuda, sapmling, time:, 0.001931
cuda, sapmling, time:, 0.002249
cuda, sapmling, time:, 0.000122
cuda, sapmling, time:, 0.001382
cuda, sapmling, time:, 0.001750
cuda, sapmling, time:, 0.000934
cuda, sapmling, time:, 0.001046
cuda, sapmling, time:, 0.001815
cuda, sapmling, time:, 0.000114
cuda, sapmling, time:, 0.000426
cuda, sapmling, time:, 0.001870
cuda, sapmling, time:, 0.000104
cuda, sapmling, time:, 0.000775
cuda, sapmling, time:, 0.001881
cuda, sapmling, time:, 0.000115
cuda, sapmling, time:, 0.000539
cuda, sapmling, time:, 0.000802
cuda, sapmling, time:, 0.000168
cuda, sapmling, time:, 0.000300
cuda, sapmling, time:, 0.000873
cuda, sapmling, time:, 0.000085
cuda, sapmling, time:, 0.000829
cuda, sapmling, time:, 0.001804
cuda, sapmling, time:, 0.000121
cuda, sapmling, time:, 0.001681
cuda, sapmling, time:, 0.001915
cuda, sapmling, time:, 0.000132
cuda, sapmling, time:, 0.000425
cuda, sapmling, time:, 0.001837
cuda, sapmling, time:, 0.000405
Training in mixed mode.
Loading data
Graph(num_nodes=169343, num_edges=1166243,
      ndata_schemes={'test_mask': Scheme(shape=(), dtype=torch.uint8), 'val_mask': Scheme(shape=(), dtype=torch.uint8), 'train_mask': Scheme(shape=(), dtype=torch.uint8), 'feat': Scheme(shape=(128,), dtype=torch.float32), 'label': Scheme(shape=(), dtype=torch.int64), 'year': Scheme(shape=(1,), dtype=torch.int64)}
      edata_schemes={})
<class 'dgl.heterograph.DGLGraph'>
partition start
Convert a graph into a bidirected graph: 0.064 seconds, peak memory: 12.726 GB
Construct multi-constraint weights: 0.000 seconds, peak memory: 12.726 GB
Metis partitioning: 0.455 seconds, peak memory: 12.726 GB
torch.Size([169343])
