cuda, sapmling, time:, 0.003465
cuda, sapmling, time:, 0.011851
cuda, sapmling, time:, 0.024290
cuda, sapmling, time:, 0.001263
cuda, sapmling, time:, 0.012384
cuda, sapmling, time:, 0.025636
cuda, sapmling, time:, 0.000971
cuda, sapmling, time:, 0.011841
cuda, sapmling, time:, 0.023873
cuda, sapmling, time:, 0.001038
cuda, sapmling, time:, 0.011498
cuda, sapmling, time:, 0.024927
cuda, sapmling, time:, 0.001211
cuda, sapmling, time:, 0.011601
cuda, sapmling, time:, 0.024531
cuda, sapmling, time:, 0.001413
cuda, sapmling, time:, 0.012626
cuda, sapmling, time:, 0.025218
cuda, sapmling, time:, 0.001565
cuda, sapmling, time:, 0.012291
cuda, sapmling, time:, 0.024314
cuda, sapmling, time:, 0.001661
cuda, sapmling, time:, 0.007805
cuda, sapmling, time:, 0.026761
cuda, sapmling, time:, 0.001110
cuda, sapmling, time:, 0.007407
cuda, sapmling, time:, 0.024580
cuda, sapmling, time:, 0.000943
cuda, sapmling, time:, 0.007011
cuda, sapmling, time:, 0.025987
cuda, sapmling, time:, 0.001523
cuda, sapmling, time:, 0.011329
cuda, sapmling, time:, 0.024646
cuda, sapmling, time:, 0.001339
cuda, sapmling, time:, 0.007780
cuda, sapmling, time:, 0.024428
cuda, sapmling, time:, 0.002018
cuda, sapmling, time:, 0.007419
cuda, sapmling, time:, 0.025612
cuda, sapmling, time:, 0.001094
cuda, sapmling, time:, 0.008763
cuda, sapmling, time:, 0.025890
cuda, sapmling, time:, 0.001743
cuda, sapmling, time:, 0.011522
cuda, sapmling, time:, 0.025463
cuda, sapmling, time:, 0.001463
cuda, sapmling, time:, 0.007321
cuda, sapmling, time:, 0.025196
cuda, sapmling, time:, 0.001379
cuda, sapmling, time:, 0.007138
cuda, sapmling, time:, 0.026330
cuda, sapmling, time:, 0.001679
cuda, sapmling, time:, 0.012311
cuda, sapmling, time:, 0.024358
cuda, sapmling, time:, 0.001358
cuda, sapmling, time:, 0.012131
cuda, sapmling, time:, 0.024846
cuda, sapmling, time:, 0.001130
cuda, sapmling, time:, 0.010847
cuda, sapmling, time:, 0.024166
cuda, sapmling, time:, 0.000985
cuda, sapmling, time:, 0.011787
cuda, sapmling, time:, 0.024518
cuda, sapmling, time:, 0.002002
cuda, sapmling, time:, 0.007385
cuda, sapmling, time:, 0.024524
cuda, sapmling, time:, 0.001342
cuda, sapmling, time:, 0.011978
cuda, sapmling, time:, 0.024337
cuda, sapmling, time:, 0.002355
cuda, sapmling, time:, 0.012062
cuda, sapmling, time:, 0.024257
cuda, sapmling, time:, 0.001706
cuda, sapmling, time:, 0.006654
cuda, sapmling, time:, 0.025441
cuda, sapmling, time:, 0.001519
cuda, sapmling, time:, 0.007237
cuda, sapmling, time:, 0.026595
cuda, sapmling, time:, 0.001502
cuda, sapmling, time:, 0.011936
cuda, sapmling, time:, 0.024743
cuda, sapmling, time:, 0.002208
cuda, sapmling, time:, 0.011310
cuda, sapmling, time:, 0.025507
cuda, sapmling, time:, 0.004038
cuda, sapmling, time:, 0.007175
cuda, sapmling, time:, 0.024566
cuda, sapmling, time:, 0.001352
cuda, sapmling, time:, 0.011794
cuda, sapmling, time:, 0.024433
cuda, sapmling, time:, 0.002380
cuda, sapmling, time:, 0.011978
cuda, sapmling, time:, 0.024010
cuda, sapmling, time:, 0.002275
cuda, sapmling, time:, 0.008154
cuda, sapmling, time:, 0.025835
cuda, sapmling, time:, 0.001871
cuda, sapmling, time:, 0.011694
cuda, sapmling, time:, 0.025040
cuda, sapmling, time:, 0.001655
cuda, sapmling, time:, 0.011866
cuda, sapmling, time:, 0.023986
cuda, sapmling, time:, 0.003351
