cuda, sapmling, time:, 0.001342
cuda, sapmling, time:, 0.018546
cuda, sapmling, time:, 0.101025
cuda, sapmling, time:, 0.002020
cuda, sapmling, time:, 0.018771
cuda, sapmling, time:, 0.101812
cuda, sapmling, time:, 0.001992
cuda, sapmling, time:, 0.015907
cuda, sapmling, time:, 0.101423
cuda, sapmling, time:, 0.001741
cuda, sapmling, time:, 0.019504
cuda, sapmling, time:, 0.101596
cuda, sapmling, time:, 0.001723
cuda, sapmling, time:, 0.019155
cuda, sapmling, time:, 0.100827
cuda, sapmling, time:, 0.004009
cuda, sapmling, time:, 0.015041
cuda, sapmling, time:, 0.100488
cuda, sapmling, time:, 0.003263
cuda, sapmling, time:, 0.018339
cuda, sapmling, time:, 0.100569
cuda, sapmling, time:, 0.001539
cuda, sapmling, time:, 0.015654
cuda, sapmling, time:, 0.102096
cuda, sapmling, time:, 0.001306
cuda, sapmling, time:, 0.017988
cuda, sapmling, time:, 0.100952
cuda, sapmling, time:, 0.001663
cuda, sapmling, time:, 0.018585
cuda, sapmling, time:, 0.100952
cuda, sapmling, time:, 0.001192
cuda, sapmling, time:, 0.019181
cuda, sapmling, time:, 0.102911
cuda, sapmling, time:, 0.002580
cuda, sapmling, time:, 0.018032
cuda, sapmling, time:, 0.101511
cuda, sapmling, time:, 0.003596
cuda, sapmling, time:, 0.018459
cuda, sapmling, time:, 0.101638
cuda, sapmling, time:, 0.001066
cuda, sapmling, time:, 0.018759
cuda, sapmling, time:, 0.101732
cuda, sapmling, time:, 0.001511
cuda, sapmling, time:, 0.019628
cuda, sapmling, time:, 0.100609
cuda, sapmling, time:, 0.002670
cuda, sapmling, time:, 0.018058
cuda, sapmling, time:, 0.099980
cuda, sapmling, time:, 0.001388
cuda, sapmling, time:, 0.018569
cuda, sapmling, time:, 0.101326
cuda, sapmling, time:, 0.002109
cuda, sapmling, time:, 0.018263
cuda, sapmling, time:, 0.102162
cuda, sapmling, time:, 0.001706
cuda, sapmling, time:, 0.019319
cuda, sapmling, time:, 0.101851
cuda, sapmling, time:, 0.001181
cuda, sapmling, time:, 0.019586
cuda, sapmling, time:, 0.100872
cuda, sapmling, time:, 0.001719
cuda, sapmling, time:, 0.018482
cuda, sapmling, time:, 0.100260
cuda, sapmling, time:, 0.001172
cuda, sapmling, time:, 0.018279
cuda, sapmling, time:, 0.100340
cuda, sapmling, time:, 0.001023
cuda, sapmling, time:, 0.018787
cuda, sapmling, time:, 0.100948
cuda, sapmling, time:, 0.002791
cuda, sapmling, time:, 0.017849
cuda, sapmling, time:, 0.100451
cuda, sapmling, time:, 0.002055
cuda, sapmling, time:, 0.018054
cuda, sapmling, time:, 0.101384
cuda, sapmling, time:, 0.001758
cuda, sapmling, time:, 0.019001
cuda, sapmling, time:, 0.103068
cuda, sapmling, time:, 0.001321
cuda, sapmling, time:, 0.018821
cuda, sapmling, time:, 0.100472
cuda, sapmling, time:, 0.001909
cuda, sapmling, time:, 0.015368
cuda, sapmling, time:, 0.099685
cuda, sapmling, time:, 0.002341
