cuda, sapmling, time:, 0.000982
cuda, sapmling, time:, 0.001778
cuda, sapmling, time:, 0.002251
cuda, sapmling, time:, 0.000152
cuda, sapmling, time:, 0.001460
cuda, sapmling, time:, 0.002103
cuda, sapmling, time:, 0.000377
cuda, sapmling, time:, 0.000823
cuda, sapmling, time:, 0.002092
cuda, sapmling, time:, 0.000077
cuda, sapmling, time:, 0.001922
cuda, sapmling, time:, 0.002383
cuda, sapmling, time:, 0.000334
cuda, sapmling, time:, 0.001627
cuda, sapmling, time:, 0.002229
cuda, sapmling, time:, 0.000113
cuda, sapmling, time:, 0.000730
cuda, sapmling, time:, 0.002127
cuda, sapmling, time:, 0.001010
cuda, sapmling, time:, 0.005247
cuda, sapmling, time:, 0.005590
cuda, sapmling, time:, 0.000092
cuda, sapmling, time:, 0.001596
cuda, sapmling, time:, 0.002025
cuda, sapmling, time:, 0.000327
cuda, sapmling, time:, 0.001173
cuda, sapmling, time:, 0.002182
cuda, sapmling, time:, 0.001467
cuda, sapmling, time:, 0.001639
cuda, sapmling, time:, 0.002158
cuda, sapmling, time:, 0.000338
cuda, sapmling, time:, 0.000555
cuda, sapmling, time:, 0.001956
cuda, sapmling, time:, 0.000885
cuda, sapmling, time:, 0.001039
cuda, sapmling, time:, 0.002098
cuda, sapmling, time:, 0.000509
cuda, sapmling, time:, 0.000718
cuda, sapmling, time:, 0.002111
cuda, sapmling, time:, 0.001045
cuda, sapmling, time:, 0.001243
cuda, sapmling, time:, 0.002151
cuda, sapmling, time:, 0.000337
cuda, sapmling, time:, 0.001399
cuda, sapmling, time:, 0.002063
cuda, sapmling, time:, 0.000130
cuda, sapmling, time:, 0.000599
cuda, sapmling, time:, 0.002125
cuda, sapmling, time:, 0.000071
cuda, sapmling, time:, 0.000838
cuda, sapmling, time:, 0.002057
cuda, sapmling, time:, 0.000084
cuda, sapmling, time:, 0.001652
cuda, sapmling, time:, 0.002164
cuda, sapmling, time:, 0.000209
cuda, sapmling, time:, 0.000547
cuda, sapmling, time:, 0.002106
cuda, sapmling, time:, 0.000075
cuda, sapmling, time:, 0.000840
cuda, sapmling, time:, 0.001358
cuda, sapmling, time:, 0.000282
cuda, sapmling, time:, 0.000829
cuda, sapmling, time:, 0.002033
cuda, sapmling, time:, 0.000061
cuda, sapmling, time:, 0.000594
cuda, sapmling, time:, 0.001354
cuda, sapmling, time:, 0.001385
cuda, sapmling, time:, 0.001548
